			019	Express accord
			0251	Appeal for easing of administrative sanctions
			0252	Appeal for easing of popular dissent
			0253	Appeal for release of persons or property
			0254	Appeal for easing of economic sanctions, boycott, or embargo
			0255	Appeal for target to allow international involvement (non-mediation)
			0256	Appeal for de-escalation of military engagement
			1011	Demand economic cooperation
			1012	Demand military cooperation
			1031	Demand economic aid
			1032	Demand military aid
			1033	Demand humanitarian aid
			1034	Demand military protection or peacekeeping
			1051	Demand easing of adminstrative sanctions
			1052	Demand easing of popular dissent
			1053	Demand release of persons or property
			1054	Demand easing of economic sanctions, boycott, or embargo
			1055	Demand that target allows international involvement (non-mediation)
			1056	Demand de-escalation of military engagement
			1221	Reject demand for economic aid
			1222	Reject demand for military aid
			1223	Reject demand for humanitarian aid
			1224	Reject demand for military protection or peacekeeping
			1241	Decline to ease administrative sanctions
			1242	Decline to ease popular dissent
			1243	Decline to release persons or property
			1244	Decline to ease economic sanctions, boycott, or embargo
			1245	Decline to allow international involvement (non-mediation)
			1246	Decline to de-escalate military engagement
			129	Veto
			1661	Expel or withdraw peacekeepers
			1662	Expel or withdraw inspectors, observers
			1663	Expel or withdraw aid agencies
01	0.0	MAKE PUBLIC STATEMENT	01	MAKE PUBLIC STATEMENT
010	0.0	Make statement, not specified below	010	Make statement
011	-0.1	Decline comment	011	Decline comment
012	-0.4	Make pessimistic comment	012	Make pessimistic comment
013	0.4	Make optimistic comment	013	Make optimistic comment
014	0.0	Consider policy option	014	Consider policy option
015	0.0	Acknowledge or claim responsibility	015	Acknowledge or claim responsibility
016	3.4	Make empathetic comment	016	Deny responsibility
017	0.0	Engage in symbolic act	017	Engage in symbolic act
018	3.4	Express accord	018	Make empathetic commment
02	3.0	APPEAL	02	APPEAL
020	3.0	Appeal, not specified below	020	Make an appeal or request
021	3.4	Appeal for cooperation, not specified below	021	Appeal for material cooperation
0211	3.4	Appeal for diplomatic cooperation	0211	Appeal for economic cooperation
0212	3.4	Appeal for material cooperation	0212	Appeal for military cooperation
022	3.4	Appeal for policy support	022	Appeal for diplomatic cooperation (such as policy support)
023	3.4	Appeal for aid, not specified below	023	Appeal for aid
0231	3.4	Appeal for economic aid	0231	Appeal for economic aid
0232	3.4	Appeal for military aid	0232	Appeal for military aid
0233	3.4	Appeal for humanitarian aid	0233	Appeal for humanitarian aid
0234	3.4	Appeal for military protection or peacekeeping	0234	Appeal for military protection or peacekeeping
024	-0.3	Appeal for political reform, not specified below	024	Appeal for political reform
0241	-0.3	Appeal for change in leadership	0241	Appeal for change in leadership
0242	-0.3	Appeal for policy change	0242	Appeal for policy change
0243	-0.3	Appeal for rights	0243	Appeal for rights
0244	-0.3	Appeal for change in institutions, regime	0244	Appeal for change in institutions, regime
025	-0.3	Appeal to yield	025	Appeal for target to yield
026	4.0	Appeal to others to meet or negotiate	026	Appeal to others to meet or negotiate
027	4.0	Appeal to others to settle dispute	027	Appeal to others to settle dispute
028	4.0	Appeal to others to engage in mediation	028	Appeal to engage mediation
03	4.0	EXPRESS INTENT TO COOPERATE	03	EXPRESS INTENT TO COOPERATE
030	4.0	Express intent to cooperate, not specified below	030	Express intent to cooperate
031	5.2	Express intent to engage in material cooperation, not specified below	031	Agree to engage in material cooperation
0311	5.2	Express intent to cooperate economically	0311	Express intent to cooperate economically
0312	5.2	Express intent to cooperate militarily	0312	Express intent to cooperate militarily
032	4.5	Express intent to provide policy support	032	Express intent to engage in diplomatic cooperation (such as policy support)
033	5.2	Express intent to provide aid, not specified below	033	Express intent to provide material aid
0331	5.2	Express intent to provide economic aid	0331	Express intent to provide economic aid
0332	5.2	Express intent to provide military aid	0332	Express intent to provide military aid
0333	5.2	Express intent to provide humanitarian aid	0333	Express intent to provide humanitarian aid
0334	6.0	Express intent to provide military protection or peacekeeping	0334	Express intent to provide military protection or peacekeeping
034	7.0	Express intent to bring political reform, not specified below	034	Express intent to bring political reform
0341	7.0	Express intent to change leadership	0341	Express intent to change leadership
0342	7.0	Express intent to change policy	0342	Express intent to change policy
0343	7.0	Express intent to provide rights	0343	Express intent to provide rights
0344	7.0	Express intent to change institutions, regime	0344	Express intent to change institutions, regime
035	7.0	Express intent to yield, not specified below	035	Express intent to yield
0351	7.0	Express intent to ease administrative sanctions	0351	Express intent to ease administrative sanctions
0352	7.0	Express intent to stop protests	0352	Express intent to ease popular dissent
0353	7.0	Express intent to accede to political demands	0353	Express intent to release persons or property
0354	7.0	Express intent to release persons or property	0354	Express intent to ease economic sanctions, boycott, embargo
0355	7.0	Express intent to ease economic sanctions, boycott, or embargo	0355	Express intent to allow international involvement (non-mediation)
0356	7.0	Express intent allow international involvement (not mediation)	0356	Express intent to de-escalate military engagement
0357	7.0	Express intent to de-escalate military engagement 		
036	4.0	Express intent to meet or negotiate	036	Express intent to meet or negotiate
037	5.0	Express intent to settle dispute	037	Express intent to settle dispute
038	7.0	Express intent to accept mediation	038	Express intent to accept mediation
039	5.0	Express intent to mediate	039	Express intent to mediate
04	1.0	CONSULT	04	CONSULT
040	1.0	Consult, not specified below	040	Consult
041	1.0	Discuss by telephone	041	Discuss by telephone
042	1.9	Make a visit	042	Make a visit
043	2.8	Host a visit	043	Host a visit
044	2.5	Meet at a “third” location	044	Meet at a third location
045	5.0	Mediate	045	Engage in mediation
046	7.0	Engage in negotiation	046	Engage in negotiation
05	3.5	ENGAGE IN DIPLOMATIC COOPERATION	05	ENGAGE IN DIPLOMATIC COOPERATION
050	3.5	Engage in diplomatic cooperation, not specified below	050	Engage in diplomatic cooperation
051	3.4	Praise or endorse	051	Praise or endorse
052	3.5	Defend verbally	052	Defend verbally
053	3.8	Rally support on behalf of	053	Rally support on behalf of
054	6.0	Grant diplomatic recognition	054	Grant diplomatic recognition
055	7.0	Apologize	055	Apolgize
056	7.0	Forgive	056	Forgive
057	8.0	Sign formal agreement	057	Sign formal agreement
06	6.0	ENGAGE IN MATERIAL COOPERATION	06	ENGAGE IN MATERIAL COOPERATION
060	6.0	Engage in material cooperation, not spec below	060	Engage in material cooperation
061	6.4	Cooperate economically	061	Cooperate economically
062	7.4	Cooperate militarily	062	Cooperate militarily
063	7.4	Engage in judicial cooperation	063	Engage in judicial cooperation
064	7.0	Share intelligence or information	064	Share intelligence or information
07	7.0	PROVIDE AID	07	PROVIDE AID
070	7.0	Provide aid, not specified below	070	Provide aid
071	7.4	Provide economic aid	071	Provide economic aid
072	8.3	Provide military aid	072	Provide military aid
073	7.4	Provide humanitarian aid	073	Provide humanitarian aid
074	8.5	Provide military protection or peacekeeping	074	Provide military protection or peacekeeping
075	7.0	Grant asylum	075	Grant asylum	
08	5.0	YIELD	08	YIELD
080	5.0	Yield, not specified below 	080	Yield
081	5.0	Ease administrative sanctions, not specified below	081	Ease administrative sanctions
