"","Diplomatic","Economic","Military","Cultural","Disasters","Domestic","Obituaries","Sports","Weddings"
"(Intercept)",1.71155069088213,0.932079106395199,0.230807373245203,0.0408213663350373,-1.29718857451143,1.46261637544187,-1.90153308413752,0.314594334653061,-1.49374758830355
"no_abstract",0,0.43564721020658,0,0,0,0,0,0,0
"canada",0,0.706751122546273,0,0,0,0,0,0,0
"form",0,0,0,0,0,1.14908951243182,0,0,0
"tariff",0,0.0526473690832492,0,0,0,0,0,0,0
"law",0,0,0,0,0,0.129663031714576,0,0,0
"interest",0,0.0684697893198449,0,0,0,0,0,0,0
"bank",0,0.387644987969296,0,0,0,0,0,0,0
"rate",0,0.67030777124759,0,0,0,0,0,0,0
"sugar",0,0.0850398242799908,0,0,0,0,0,0,0
"cotton",0,0.11146406775561,0,0,0,0,0,0,0
"england",-0.138694136388198,0,0,0,0,0,0,0,0
"ceremoni",0,0,0,0,0,0,0,0,1.20589722496782
"yesterday",-0.231076340328678,0,0,0,0,0,0,0,0
"had",0,0,0.106296741272684,0,0,0,0,0,0
"polit",0,0,0,0,0,0.146586104269205,0,0,0
"secretari",0.256747971379849,0,0,0,0,0,0,0,0
"ireland",0,0,0,0,0,0.343692704360438,0,0,0
"rule",0,0,0,0,0,0.440842865661046,0,0,0
"gov",0,0,0,0,0,1.21212798347027,0,0,0
"pari",0.0219812575320945,0,0,0,0,0,0,0,0
"art",0,0,0,0.826964324339632,0,0,0,0,0
"artist",0,0,0,2.27661220334389,0,0,0,0,0
"constitut",0,0,0,0,0,0.0250793847283661,0,0,0
"invas",0,0,0.316010914016562,0,0,0,0,0,0
"forc",0,0,0.460866762891474,0,0,0,0,0,0
"resolut",0.152754834527497,0,0,0,0,0,0,0,0
"right",0.270186556362902,0,0,0,0,0,0,0,0
"view",0,0,0,0,0,0.122064608981808,0,0,0
"trade",0,0.686301658765994,0,0,0,0,0,0,0
"ton",0,0.00766954773548041,0,0,0,0,0,0,0
"per",0,0.56100030741222,0,0,0,0,0,0,0
"price",0,0.527618640453652,0,0,0,0,0,0,0
"attack",0,0,0.609045656513921,0,0,0,0,0,0
"season",0,0,0,1.06149983458681,0,0,0,0,0
"prosper",0,0.725944320890067,0,0,0,0,0,0,0
"russian",0.599729116190206,0,0,0,0,0,0,0,0
"korea",0.134906232800687,0,0,0,0,0,0,0,0
"shanghai",0.24328422218156,0,0,0,0,0,0,0,0
"treati",0.71900331439794,0,0,0,0,0,0,0,0
"support",0.0988270561851742,0,0,0,0,0,0,0,0
"point",0.263609594543379,0,0,0,0,0,0,0,0
"british",0,0,0.334078725478003,0,0,0,0,0,0
"warship",0,0,1.80340293746237,0,0,0,0,0,0
"birth",0,0,0,0,0,0.443112581525583,0,0,0
"mani",0,0,0,0.228911892557949,0,0,0,0,0
"express",0.155107471188692,0,0,0,0,0,0,0,0
"evil",0,0,0,0,2.18705481409327,0,0,0,0
"reput",0,0,0,0,6.39681060094065e-14,0,0,0,0
"suppos",0,0,0,0,1.4215134668757e-15,0,0,0,0
"dear",0,0,0,2.39074284601232,0,0,0,0,0
"governor",0,0,0,0,0,0.59601161228767,0,0,0
"project",0,0.985952136055728,0,0,0,0,0,0,0
"loan",0,0.995064918129045,0,0,0,0,0,0,0
"particip",0.117536988689683,0,0,0,0,0,0,0,0
"banker",0,0.430173865881623,0,0,0,0,0,0,0
"becom",0,0,0,0,0,0.0293075201033338,0,0,0
"play",0,0,0,0.0270162399878453,0,0,0,0,0
"us",0.566464294210443,0,0,0,0,0,0,0,0
"cup",0,0,0,0,0,0,0,0.628073675248162,0
"team",0,0,0,0,0,0,0,0.823238066724612,0
"practic",0,0,0,0,0,0,0,1.1582908958649,0
"match",0,0,0,0,0,0,0,0.807086604974499,0
"preced",0,0,0,1.03813073024895,0,0,0,0,0
"page",0,0,0,0.000951144740659246,0,0,0,0,0
"diplomat",0.610702562414917,0,0,0,0,0,0,0,0
"oppos",0.352642179081002,0,0,0,0,0,0,0,0
"columbia",0,0,0,0,0,0,0,0.505847198103084,0
"front",0,0,0.157991635670177,0,0,0,0,0,0
"minist",0.186171863208131,0,0,0,0,0,0,0,0
"parti",0,0,0,0,0,0.0302974783704864,0,0,0
"peac",0.450507225760741,0,0,0,0,0,0,0,0
"militari",0,0,0.463233028243417,0,0,0,0,0,0
"democraci",0.215448657561795,0,0,0,0,0,0,0,0
"speech",0.195679786743376,0,0,0,0,0,0,0,0
"alli",0.181496543000567,0,0,0,0,0,0,0,0
"out",0.150997383738595,0,0,0,0,0,0,0,0
"soviet",0.0800785115385656,0,0,0,0,0,0,0,0
"guard",0,0,0,0,0,0.344084095661331,0,0,0
"food",0,0,0,0,0,0.398429557755001,0,0,0
