"","Diplomatic","Economic","Military","Cultural","Disasters","Domestic","Obituaries","Sports","Weddings"
"moscow",0.486061998318011,0,0,0,0,0,0,0,0
"win",0,0,0,0,0,0,0,0.958723206764366,0
"arm",0.0424966648336621,0,0,0,0,0,0,0,0
"confer",0.562968488693618,0,0,0,0,0,0,0,0
"race",0,0,0,0,0,0,0,0.690642118697765,0
"compet",0,0,0,0,0,0,0,0.767323283999722,0
"championship",0,0,0,0,0,0,0,1.34958827216733,0
"winner",0,0,0,0,0,0,0,0.462693349448349,0
"general",0,0,0,0,0,0.333999660178169,0,0,0
"increas",0,0.38180888647796,0,0,0,0,0,0,0
"visit",0.420046005426572,0,0,0,0,0,0,0,0
"reserv",0,0.0607674279412134,0,0,0,0,0,0,0
"graduat",0,0,0,0,0,0,0,0,0.925513835210435
"marri",0,0,0,0,0,0,0,0,2.9283545757195
"sale",0,0.523354816819492,0,0,0,0,0,0,0
"output",0,1.14018801474207,0,0,0,0,0,0,0
"patron",0,0,0,1.69583765741381,0,0,0,0,0
"econom",0,0.244815967675692,0,0,0,0,0,0,0
"compar",0,0.190897317641138,0,0,0,0,0,0,0
"life",0,0,0,1.94507910654727,0,0,0,0,0
"optimist",0,0.588120602414927,0,0,0,0,0,0,0
"sunni",0,0,0,0.861284404595459,0,0,0,0,0
"zoo",0,0,0,9.94375401500944e-15,0,0,0,0,0
"optim",0,0.373267364011198,0,0,0,0,0,0,0
"export",0,0.247906658923664,0,0,0,0,0,0,0
"shipment",0,0.970877500245095,0,0,0,0,0,0,0
"field",0,0,0,0,0,0,0,1.55601409291625,0
"polic",0,0,0,0,0,0.827704490453546,0,0,0
"distant",0,0,0.118585420310948,0,0,0,0,0,0
"prohibit",0,0,0,0,0,0.230970590278822,0,0,0
"pact",0.178141278531279,0,0,0,0,0,0,0,0
"relat",0.319331916926977,0,0,0,0,0,0,0,0
"swim",0,0,0,0,0,0,0,0.839676563967938,0
"district",0,0,0,0,0,0.162657343681039,0,0,0
"machineri",0,0.582835075680548,0,0,0,0,0,0,0
"restrict",0,0,0,0,0,0.351755381473756,0,0,0
"specif",0,0,1.99464733834232,0,0,0,0,0,0
"chess",0,0,0,0.403807351288494,0,0,0,0,0
"pace",0,0,0,0.000566589096720757,0,0,0,0,0
"feder",0,0,0,0,0,0.104736644495625,0,0,0
"affirm",0,0,0,0.95605133401275,0,0,0,0,0
"mission",0,0,0,3.33944669457154e-13,0,0,0,0,0
"dissent",0,0,0,0.000110783139568062,0,0,0,0,0
"attitud",0,0,0.285252717027508,0,0,0,0,0,0
"reject",0.110271444023855,0,0,0,0,0,0,0,0
"togeth",0.143788112430187,0,0,0,0,0,0,0,0
"envoy",1.27942267696415,0,0,0,0,0,0,0,0
"black",0,0,0,0,0,0.123972920795201,0,0,0
"tactic",0,0,0.464178124871258,0,0,0,0,0,0
"radio",0,0,0.995957681834946,0,0,0,0,0,0
"blame",0,0,0,0,0,0.500648842339152,0,0,0
"u.n",0.863043680247521,0,0,0,0,0,0,0,0
"truman",0.0279446674257863,0,0,0,0,0,0,0,0
"orchestra",0.329722190065241,0,0,0,0,0,0,0,0
"jail",0.180050732410044,0,0,0,0,0,0,0,0
"did",0.16176694454843,0,0,0,0,0,0,0,0
"dead",0,0,0.307019604150099,0,0,0,0,0,0
"corrupt",0,0,0,0,0,0.531889251736637,0,0,0
"villag",0.992172986075261,0,0,0,0,0,0,0,0
"korean",0.0490353463423217,0,0,0,0,0,0,0,0
"eye",0,0,0,1.63494562499313,0,0,0,0,0
"write",0,0,0,0,0,0.880378064156694,0,0,0
"olymp",0,0,0,0,0,0,0,0.465549656252825,0
"survivor",0,0,0,0,1.97097828403517,0,0,0,0
"ford",0,0.10655561646904,0,0,0,0,0,0,0
"beat",0,0,0,0,0,0,0,0.956191875202446,0
"elector",0,0,0,0,0,0.193502703758825,0,0,0
"import",0,0.0886195214117155,0,0,0,0,0,0,0
"victor",0,0,0,0,0,0,0,0.424218543717483,0
"paint",0,0,0,0.199855767276354,0,0,0,0,0
"die",0,0,0,0,0,0,1.91307768563623,0,0
"australian",0,0,0,0,0,0,0,0.559710360484427,0
"foundat",0,0,0,0.638579586180715,0,0,0,0,0
"establish",0,0,0,0.338798188259976,0,0,0,0,0
"sudden",0,0,0,0,0,0.868150325768872,0,0,0
"fan",0,0,0,0,0,0,0,0.760181175263641,0
"qualifi",0,0,0,0,0,0,0,0.00165101886475883,0
"spain",0.138229550283062,0,0,0,0,0,0,0,0
"card",0.253636106834632,0,0,0,0,0,0,0,0
"anticip",0,0,2.16166088692057,0,0,0,0,0,0
"progress",0.00865604005781907,0,0,0,0,0,0,0,0
"mexican",0.233614933275488,0,0,0,0,0,0,0,0
"claim",0,0,0.271590375515935,0,0,0,0,0,0
"reinforc",0,0,0.675181002009472,0,0,0,0,0,0
"occup",0.379088428837412,0,0,0,0,0,0,0,0
"higher",0,0.0401487759693036,0,0,0,0,0,0,0
"disclos",0,0,0.122666627957642,0,0,0,0,0,0
"threaten",0.00310605841131085,0,0,0,0,0,0,0,0
"convoy",0,0,0.376057250951867,0,0,0,0,0,0
"kenya",0,0,0,0,0,0.121484207654811,0,0,0
"chanc",0.365409420860259,0,0,0,0,0,0,0,0
"umpir",0,0,0,0,0,0,0,0.637283744694039,0
"nato",0,0,0.727633961917304,0,0,0,0,0,0
"jordanian",0,0,1.09299270657055,0,0,0,0,0,0
"hostil",0,0,0.558868965243729,0,0,0,0,0,0
"johannesburg",0,0,0,0,0,0.971298896320359,0,0,0
"murder",0,0,0,0,0,0.140061813810187,0,0,0
"unfold",0,0,0,0.912703418108403,0,0,0,0,0
"base",0,0,0.486346576249346,0,0,0,0,0,0
"bride",0,0,0,0,0,0,0,0,0.991178511391495
"song",0,0,0,0,0,0,0,0,0.124206173121571
"sport",0,0,0,0,0,0,0,1.24465186562696,0
"loos",0,0,0.259512055981408,0,0,0,0,0,0
"steadili",0,0,5.39714820673284e-14,0,0,0,0,0,0
"discov",0.000243985677111508,0,0,0,0,0,0,0,0
"someon",0,0,0,0.863689795237623,0,0,0,0,0
"network",0,0,0,0.209374031088026,0,0,0,0,0
"lock",0,0,0,0.723184913169935,0,0,0,0,0
"lineup",0,0,0,0.000177267483978766,0,0,0,0,0
"comput",0,0,0,0,0,0.178625982285334,0,0,0
"enjoy",0,0,0,0.77190501349045,0,0,0,0,0
"conduct",0,0,0,0,0,0.126082148588815,0,0,0
"resolv",0.0820249575211019,0,0,0,0,0,0,0,0
